address,type,last_7days_cd_address,last_7days_cd_tx_hash
0x5ff8f2d4c416bef7a338f8d7e52d5f2803459d67,Scam,766,3566
0x35d2d93051ecdac9418888607bbad0aa094a7bd6,Scam,370,413
0x8410126a726775c93df410a1b06c4a8715b6a97b,Scam,368,465
0x87f5641c01dac48ae33cdbf0fb71a27a492a1d54,Scam,227,241
0xce9400c413b680c2f2015b025d99477b36919354,Scam,219,229
0xd1e735ec67606ca6fc6eb0614b6e89e39a5ff18e,Scam,172,180
0x1f1203b0922f1e46ab43046ae00ee18ac45f50b0,Scam,151,154
0xf5c27fad680ea584dc9973f80920d74acc1290af,Scam,144,166
0x7981a6dfeb7e696efcf7f7a2eec5b4480cc7beb9,Scam,116,126
0x6d93b94e84e821986fa9bef9011c08b82b41eb2f,Scam,115,142
0x6d6dfb7aad857339798bf158f505404a0a3c27ce,Scam,114,135
0xcff71c3b9219aa63df6d6564600e837b7049a25d,Scam,113,127
0x9677610782f1cb75df0ba6568f8f819f68babea4,Scam,111,114
0xe2825e13100e0f4ff8e5c9fb9acd32240de25df3,Scam,111,125
0xc71db34bb0a7f10d4b26824e18f513c20cb48eea,Scam,111,126
0x14ce2ef8519bd0990af1ece192251dfe1e09d63e,Scam,105,130
0x229eb38d9f66ed6e5aefc89c57ceea8dda07ae25,Scam,102,112
0xaafc4b321785f933b0353f4a634b536231b21109,Scam,95,100
0x21c75bc392ede780e3d0dcd412c47c968f524c6f,Scam,91,153
0xd684c9c916c1f6be036885bc4ffdd4d1295a0822,Scam,77,99
0xaf9863e0d3c77b0a5e0062f41e7f146d9101cd43,Scam,75,89
0xa5ce41e6419d5e6629caa595c3d19717bab46bb3,Scam,66,81
0x86c7db80cdd17d401f03d9df54f7971a4769caaf,Scam,57,258
0xbcd51f771ff9c7056cec74c4c16e14ece03e2e7f,Scam,57,272
0xb6d56412359e9dd63f21b5bfb2a21b8c5d844d92,Scam,53,105
0x3870ce883c619836c56e8c2270fb4c06b61107ea,Scam,39,102
0x1b9dfbf6136a0f1bc252ce23bf9a19e38e5fd6e5,Scam,25,237
